timestamp_ms,adc_value,voltage_v
9110,0,387
9110,0,390
9111,0,390
9111,0,392
9111,0,392
9112,0,392
9112,0,393
9112,0,393
9113,0,394
9113,0,394
9113,0,394
9113,0,395
9114,0,395
9114,0,396
9114,0,397
9115,0,396
9115,0,397
9115,0,397
9116,0,397
9116,0,399
9116,0,400
9116,0,399
9117,0,399
9117,0,400
9117,0,401
9118,0,402
9118,0,402
9118,0,402
9119,0,403
9119,0,403
9119,0,403
9120,0,403
9120,0,404
9120,0,405
9121,0,405
9121,0,404
9121,0,406
9121,0,406
9122,0,406
9122,0,408
9122,0,408
9123,0,408
9123,0,409
9123,0,409
9124,0,410
9124,0,409
9124,0,410
9124,0,411
9125,0,411
9125,0,410
9125,0,411
9126,0,412
9126,0,412
9126,0,412
9126,0,413
9127,0,413
9127,0,414
9127,0,414
9128,0,415
9128,0,416
9128,0,416
9129,0,416
9129,0,417
9129,0,418
9130,0,417
9130,0,417
9130,0,418
9131,0,418
9131,0,418
9131,0,420
9131,0,419
9132,0,419
9132,0,420
9132,0,420
9133,0,420
9133,0,421
9133,0,421
9133,0,422
9134,0,422
9134,0,422
9134,0,424
9135,0,423
9135,0,424
9135,0,425
9135,0,425
9136,0,425
9136,0,425
9136,0,426
9137,0,426
9137,0,426
9137,0,426
9137,0,427
9138,0,427
9138,0,428
9138,0,428
9139,0,428
9139,0,427
9139,0,429
9140,0,428
9140,0,429
9140,0,429
9140,0,430
9141,0,430
9141,0,430
9141,0,431
9142,0,431
9142,0,432
9142,0,433
9143,0,433
9143,0,433
9143,0,433
9143,0,434
9144,0,434
9144,0,433
9144,0,434
9145,0,434
9145,0,435
9145,0,435
9146,0,436
9146,0,435
9146,0,436
9146,0,437
9147,0,437
9147,0,437
9147,0,437
9148,0,437
9148,0,440
9148,0,438
9148,0,438
9149,0,438
9149,0,440
9149,0,439
9150,0,440
9150,0,440
9150,0,441
9150,0,441
9151,0,441
9151,0,441
9151,0,442
9152,0,441
9152,0,442
9152,0,442
9153,0,443
9153,0,443
9153,0,443
9154,0,443
9154,0,443
9154,0,443
9154,0,444
9155,0,444
9155,0,444
9155,0,444
9156,0,445
9156,0,446
9156,0,445
9157,0,446
9157,0,446
9157,0,448
9157,0,448
9158,0,447
9158,0,448
9158,0,449
9158,0,449
9159,0,449
9159,0,449
9159,0,450
9160,0,449
9160,0,450
9160,0,450
9161,0,450
9161,0,450
9161,0,451
9162,0,450
9162,0,451
9162,0,452
9162,0,451
9163,0,452
9163,0,452
9163,0,453
9164,0,453
9164,0,453
9164,0,453
9165,0,453
9165,0,453
9165,0,456
9166,0,454
9166,0,454
9166,0,454
9166,0,455
9167,0,456
9167,0,456
9167,0,457
9168,0,456
9168,0,457
9168,0,457
9169,0,458
9169,0,456
9169,0,458
9169,0,458
9170,0,459
9170,0,458
9170,0,458
9170,0,459
9171,0,458
9171,0,459
9171,0,459
9172,0,460
9172,0,460
9172,0,460
9173,0,460
9173,0,460
9173,0,461
9174,0,461
9174,0,461
9174,0,461
9174,0,456
9175,0,461
9175,0,462
9175,0,462
9176,0,464
9176,0,462
9176,0,463
9176,0,464
9177,0,464
9177,0,464
9177,0,464
9178,0,465
9178,0,465
9178,0,465
9178,0,465
9179,0,466
9179,0,465
9179,0,466
9180,0,465
9180,0,466
9180,0,466
9180,0,466
9181,0,466
9181,0,466
9181,0,466
9181,0,467
9182,0,468
9182,0,468
9182,0,467
9183,0,468
9183,0,468
9183,0,468
9184,0,469
9184,0,469
9184,0,470
9184,0,470
9185,0,470
9185,0,469
9185,0,469
9186,0,469
9186,0,470
9186,0,470
9187,0,470
9187,0,472
9187,0,471
9188,0,472
9188,0,472
9188,0,472
9188,0,472
9189,0,473
9189,0,472
9189,0,473
9190,0,473
9190,0,472
9190,0,474
9191,0,474
9191,0,474
9191,0,473
9191,0,474
9192,0,475
9192,0,474
9192,0,474
9193,0,475
9193,0,475
9193,0,475
9194,0,475
9194,0,475
9194,0,476
9195,0,476
9195,0,476
9195,0,477
9195,0,476
9196,0,476
9196,0,476
9196,0,477
9197,0,477
9197,0,477
9197,0,478
9197,0,478
9198,0,478
9198,0,478
9198,0,478
9199,0,478
9199,0,479
9199,0,478
9199,0,478
9200,0,480
9200,0,480
9200,0,480
9201,0,480
9201,0,480
9201,0,480
9202,0,481
9202,0,480
9202,0,481
9202,0,481
9203,0,481
9203,0,482
9203,0,481
9204,0,482
9204,0,481
9204,0,481
9204,0,482
9205,0,482
9205,0,483
9205,0,482
9205,0,482
9206,0,483
9206,0,482
9206,0,484
9207,0,484
9207,0,483
9207,0,483
9208,0,484
9208,0,484
9208,0,484
9208,0,484
9209,0,484
9209,0,484
9209,0,485
9210,0,485
9210,0,485
9210,0,485
9210,0,485
9211,0,485
9211,0,485
9211,0,485
9212,0,487
9212,0,485
9212,0,485
9213,0,486
9213,0,486
9213,0,485
9213,0,486
9214,0,486
9214,0,486
9214,0,488
9215,0,488
9215,0,488
9215,0,488
9215,0,488
9216,0,488
9216,0,489
9216,0,488
9217,0,489
9217,0,489
9217,0,489
9218,0,489
9218,0,490
9218,0,489
9219,0,490
9219,0,490
9219,0,490
9219,0,490
9220,0,489
9220,0,490
9220,0,490
9221,0,491
9221,0,491
9221,0,492
9222,0,491
9222,0,491
9222,0,491
9222,0,491
9223,0,491
9223,0,492
9223,0,492
9224,0,491
9224,0,492
9224,0,493
9225,0,491
9225,0,492
9225,0,493
9226,0,493
9226,0,493
9226,0,493
9226,0,493
9227,0,494
9227,0,493
9227,0,493
9228,0,493
9228,0,493
9228,0,495
9229,0,494
9229,0,494
9229,0,494
9229,0,494
9230,0,494
9230,0,495
9230,0,496
9230,0,494
9231,0,496
9231,0,496
9231,0,496
9232,0,495
9232,0,495
9232,0,496
9232,0,496
9233,0,497
9233,0,497
9233,0,496
9234,0,497
9234,0,497
9234,0,496
9235,0,497
9235,0,496
9235,0,497
9236,0,497
9236,0,497
9236,0,498
9236,0,498
9237,0,497
9237,0,498
9237,0,498
9238,0,498
9238,0,499
9238,0,498
9239,0,498
9239,0,499
9239,0,498
9239,0,499
9240,0,499
9240,0,499
9240,0,499
9241,0,499
9241,0,499
9241,0,499
9241,0,500
9242,0,500
9242,0,500
9242,0,499
9243,0,500
9243,0,500
9243,0,499
9244,0,500
9244,0,500
9244,0,501
9244,0,501
9245,0,500
9245,0,500
9245,0,501
9246,0,501
9246,0,500
9246,0,501
9246,0,501
