time,luminaire_ID,lux_ref,lux_meas,ldrvoltage,ldrresistance,duty_cycle,windup_state,setpoint-weight
12954,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
12964,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
12974,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
12984,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
12994,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13004,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13014,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13024,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13034,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13044,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
13054,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13064,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13074,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13084,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13094,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13104,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13114,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13124,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13134,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13144,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
13154,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13164,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
13174,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
13184,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13194,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13204,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13214,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13224,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13234,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13244,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13254,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13264,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13274,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13284,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13294,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13304,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13314,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13324,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13334,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13344,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13354,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13364,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13374,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13384,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13394,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13404,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13414,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13424,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
13434,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13444,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13454,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13464,0,20.00,19.98,0.17,189756.09,0.41,1,1.00
13474,0,20.00,20.11,0.17,188786.41,0.41,1,1.00
